Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Public Works,22000007541,444229.75,FLB Contractors Inc,Invitation to Bid,"Sidewalk Improvements/Repairs Pkg #2: 200 N. 25th St., 300 N. Harrison St., 700 Mosby St., 800 Maury St., 900 Maury St., 100 Maury St., 1500 Mechanicsville Tnpke., 2000 Broad Rock Blvd. and 2400 E. Marshall St.",Construction - Capital/Non-Capital,01/28/2022 12:00:00 AM,01/27/2023 12:00:00 AM
Planning & Development Review,22000007686,10000.00,Jacqueline Drayer - INACTIVE,Small Purchase,"Small / Services - Non Professional & Non Technology / Planning & Development Review / Non Professional Historical Preservation Services / Expires July 13, 2023.","Non Professional Services, Non Technology",01/10/2022 12:00:00 AM,07/14/2023 12:00:00 AM
Public Works,22000007687,830000.00,Musco Corp - INACTIVE,Cooperative Agreement,Requisition 220008924/Cooperative Agreement #071619-MSL. The Richmond Diamond Sports Lighting Package-Materials & Installation per,"Non Professional Services, Non Technology",01/31/2022 12:00:00 AM,08/27/2023 12:00:00 AM
Public Works,22000007808,1066220.38,Richardson-Wayland Electrical Company,Invitation to Bid,"Change Order No. 1; IFB#220002796 - Pedestrian Hybrid Beacon (PHB) Project (UPC 110880) Change order #2 adding $77,001.77",Construction - Capital/Non-Capital,02/01/2022 12:00:00 AM,05/16/2023 12:00:00 AM
Public Works,22000007964,230944.00,MCNEILUS FINANCIAL INC,Cooperative Agreement,Two (2) 2022 McNeilus 2011 HD 3.5YD Rear Load Refuse Bodies,Equipment - Non Technology,03/23/2022 12:00:00 AM,03/22/2023 12:00:00 AM
City Auditor,22000008081,1508000.00,CliftonLarsonAllen LLP,Request for Proposal,RFP / Professional Services / Finance / External Auditing Services / Initial Term Three (3) years with Two (2) - One (1) year renewals and extension.,Professional Services,04/01/2022 12:00:00 AM,03/31/2027 12:00:00 AM
Procurement Services,22000008266,1.00,Liquidity Services Operations,Cooperative Agreement,Cooperative Agreement using Sourcewell Contract #012821-GDI/General Auction Services for Surplus Items,"Non Professional Services, Non Technology",08/02/2022 12:00:00 AM,03/19/2026 12:00:00 AM
"Parks, Recreation and Community Facilities",22000008349,52475.29,ALLIANCE FOR THE CHESAPEAKE,Grant Opportunity,"Grant / Services - Non Professional & Non Technology / Parks, Recreation and Community Facilities / Environmental Literacy Plan / No additional terms and conditions.","Non Professional Services, Technology",04/01/2022 12:00:00 AM,10/31/2024 12:00:00 AM
Public Works,22000008353,4896497.87,MESSER CONTRACTING LLC,Invitation to Bid,"IFB / Construction / Department of Public Works / (VDOT) Construction of streetscape improvements, W. Broad St. from Hamilton St. to laurel Street / Performance time of 550 consecutive days.",Construction - Capital/Non-Capital,02/28/2022 12:00:00 AM,02/27/2024 12:00:00 AM
Information Technology,22000008440,2205793.29,DLT Solutions LLC,Cooperative Agreement,Cooperative / Services - Technology / Department of Information Technology / Oracle Managed Cloud ServicesB90622 - MCS - Oracle Managed Application Cloud - Base - Managed Host System / Initial Term of Five (5) years One (1) - Five (5) year,"Non Professional Services, Technology",02/24/2022 12:00:00 AM,11/30/2028 12:00:00 AM
Public Works,22000008811,75000.00,4205 West Broad Street OpCo LLC,Invitation to Bid,Contract name change from Hogwash Express Car Wash LLC (Contract #22000000171); Offsite Vehicle Wash Service; IFB#210013875; Two (2) year initial contract terms; three (3) one-year renewal options.,"Non Professional Services, Non Technology",07/12/2021 12:00:00 AM,07/11/2023 12:00:00 AM
Fire and Emergency Services,22000009278,1649100.00,"Williams Emergency Vehicle Services, LLC",Cooperative Agreement,Cooperative / Supplies - Non Technology / Department of Public Works / Houston -Galveston Area Council (H-GAC) Program; Seagrave Fire Apparatus. Original Contract End date 14 March 2023. Extended agreement in RAPIDS to reflect new timeline,Equipment - Non Technology,03/15/2022 12:00:00 AM,06/02/2025 12:00:00 AM
Public Works,22000009346,979278.04,Richardson-Wayland Electrical Company,Invitation to Bid,"IFB#220007229 - Three Traffic Signal Upgrade Project / CO#1 NOV 14, 2022","Non Professional Services, Non Technology",03/21/2022 12:00:00 AM,03/20/2023 12:00:00 AM
"Parks, Recreation and Community Facilities",22000009361,923526.14,BROOKS AND COMPANY GENERAL CONTRACTORS INC,Invitation to Bid,IFB#220004303 Powhatan Community Center Addition and Renovation,Construction - Term,03/25/2022 12:00:00 AM,06/10/2023 12:00:00 AM
Police Department,22000009364,149376.00,CARTER MACHINERY COMPANY INC,Cooperative Agreement,Requisition 220009848/TRIME LIGHT TOWERS OMNIA PARTNERS /CATERPILLLAR CONTRACT #161534,Equipment - Non Technology,03/23/2022 12:00:00 AM,07/31/2022 12:00:00 AM
Public Utilities,22000009504,0.00,Enerwise - INACTIVE,Cooperative Agreement,Requisition 220010695/Emergency Capacity Demand Response,"Non Professional Services, Non Technology",05/09/2022 12:00:00 AM,05/31/2023 12:00:00 AM
Public Works,22000009950,2441918.06,American Road Markings - INACTIVE,Invitation to Bid,Pulse BRT Red Pavement and Markings for Broad Street Bus Lanes,Construction - Term,05/04/2022 12:00:00 AM,10/31/2022 12:00:00 AM
Public Works,22000010223,33688.30,Vermeer Mid Atlantic Inc,Cooperative Agreement,"Requisition 220010916/Item # SC38210VP: Value Package - Stump Cutter W/ Chip Blade, 37HP EFI Gas Engine, 4 Wheel Dr, Push Blade",Equipment - Non Technology,05/09/2022 12:00:00 AM,05/07/2025 12:00:00 AM
Community Wealth Building,22000010493,300000.00,Brightpoint Community College,Exempt Purchase,Certification classes and training for participants of the City's Center for Workforce Innovation/Requisition #220011343,"Non Professional Services, Non Technology",05/26/2022 12:00:00 AM,05/25/2023 12:00:00 AM
Information Technology,22000010689,6829171.46,SHI INTERNATIONAL CORP,Cooperative Agreement,Contract Effective To Date changed to 1/13/2025; Requisition 220011901/Cooperative / Services - Technology / Information Technology / VITA contract 200114 with SHI International Corporation / Three (3) additional renewals.,"Non Professional Services, Technology",01/14/2022 12:00:00 AM,01/13/2027 12:00:00 AM
"Parks, Recreation and Community Facilities",22000010694,10000.00,VANASSE HANGEN BRUSTLIN INC,Grant Opportunity,"Grant - Requisition #220011770 / Services - Non Professional & Non Technology / Parks, Recreation and Community Facilities / Environmental Literacy Program / No additional terms","Non Professional Services, Non Technology",05/17/2022 12:00:00 AM,05/16/2023 12:00:00 AM
Public Works,22000010699,297590.00,"Strickland Waterproofing Co., Inc.",Invitation to Bid,IFB - Requisition #220006465 / Construction / Department of Public Works / Repairs to Diamond Stadium / Performnanbce time of 250 days.,Construction - Capital/Non-Capital,06/15/2022 12:00:00 AM,04/15/2023 12:00:00 AM
Police Department,22000010703,30126.24,Heartline Fitness Products Inc,Cooperative Agreement,Heatline Coop Agreement No. 44000009697 - 2 one-year renewal options.,Equipment - Non Technology,04/28/2022 12:00:00 AM,02/28/2023 12:00:00 AM
Police Department,22000010705,26377.00,Promaxima - INACTIVE,Cooperative Agreement,Promaxima Coop Agreement No. 44000009697 - 2 one-year renewal options.,Equipment - Non Technology,04/28/2022 12:00:00 AM,02/28/2023 12:00:00 AM
Police Department,22000010707,31925.18,72 Hour LLC,Cooperative Agreement,Soucewell Coop Contract No. 091521 - 1 one-year renewal options.,Equipment - Non Technology,04/28/2022 12:00:00 AM,11/08/2025 12:00:00 AM
Planning & Development Review,22000010902,541000.00,Bruber Financial Services Inc,Agency Request,Sole Source - Requisition #220008316 / Services - Non Professional and Technology / Planning and Development Review / Credit Card Payment Processing / Initial term of Two (2) years with One (1) - One (1) year renewal.,"Non Professional Services, Technology",05/10/2022 12:00:00 AM,05/09/2026 12:00:00 AM
Public Utilities,22000010935,35320.00,Surdex Corporation,Cooperative Agreement,"Requisition 220011353/(COOP Agreement) Vita Contract #VA-200922-SURD. Surdex Corp. will update the DPU City's planimetric data using the City's previously collected 6"" GSD by up imagery from 2021. (P.Giglio)","Non Professional Services, Non Technology",05/16/2022 12:00:00 AM,09/21/2023 12:00:00 AM
Circuit Court,22000011015,0.00,"SunTrust Banks, Inc - INACTIVE",Request for Proposal,RFP 220007057/Clerk of Circuit Court,"Non Professional Services, Non Technology",05/06/2022 12:00:00 AM,05/05/2023 12:00:00 AM
"Parks, Recreation and Community Facilities",22000011307,21750.00,"TJ Distributors, Inc. - INACTIVE",Cooperative Agreement,Cooperative Agreement: Sourcewell RFP#091719; Event Seating,"Supplies, Non Technology",05/17/2022 12:00:00 AM,06/16/2022 12:00:00 AM
Police Department,22000011447,89698.24,WB Mason Co Inc,Cooperative Agreement,Cooperative for office supplies and office furniture/Police Dept.,Equipment - Non Technology,05/18/2022 12:00:00 AM,07/22/2022 12:00:00 AM
Public Works,22000011501,70368.21,Southern Air Inc,Cooperative Agreement,Coop for HVAC Preventive Maintenance/DPW,"Non Professional Services, Non Technology",05/19/2022 12:00:00 AM,11/30/2022 12:00:00 AM
Police Department,22000011521,24136.43,Heartline Fitness Products Inc,Cooperative Agreement,Coop agreement for Exercise Equipment Accessories and Parts/Police,Equipment - Non Technology,05/19/2022 12:00:00 AM,02/28/2023 12:00:00 AM
Public Utilities,22000012037,19000000.00,"Columbia Pipeline Group, Inc. - INACTIVE",Cooperative Agreement,FSS Service Agreement No. 78195-Revision No. 7/DPU,"Non Professional Services, Non Technology",02/02/2022 12:00:00 AM,03/31/2027 12:00:00 AM
Public Utilities,22000012047,18000000.00,"Columbia Pipeline Group, Inc. - INACTIVE",Cooperative Agreement,SST Service Agreement No. 78194 Revision No. 10/ DPU,"Non Professional Services, Non Technology",02/07/2022 12:00:00 AM,03/31/2027 12:00:00 AM
"Parks, Recreation and Community Facilities",22000012065,18000.00,Gibson Fireworks,Small Purchase,"Small Fax Back - Requisition #220012424 / Services - Non {Professional & Non-Technology / Parks, Recreation and Community Facilities ./ Juneteenth Fireworks Event / NO Additional Terms","Non Professional Services, Non Technology",06/09/2022 12:00:00 AM,06/24/2022 12:00:00 AM
"Parks, Recreation and Community Facilities",22000012078,18000.00,Gibson Fireworks,Small Purchase,"Small Fax Back - Requisition #220012427 / Services - Non {Professional & Non-Technology / Parks, Recreation and Community Facilities ./ Fourth of July Event / No Additional Terms","Non Professional Services, Non Technology",06/09/2022 12:00:00 AM,07/29/2022 12:00:00 AM
Public Utilities,22000012087,339835.43,Montrose Environmental Group Inc,Request for Proposal,RFP # G180011322 / Services - Non Professional & Non Technology / Department of Public Works / Laboratory Testing Services for Water Quality Services Laboratory / Initial One (1) year with Two (2) - One (1) year renewals and extension.,"Non Professional Services, Technology",06/09/2022 12:00:00 AM,06/08/2024 12:00:00 AM
Information Technology,22000012315,47986.92,RECOVERY POINT SYSTEMS,Cooperative Agreement,Coop GS-35F-0210R for computer supplies/DIT,"Supplies, Technology",06/06/2022 12:00:00 AM,04/21/2024 12:00:00 AM
Finance,22000012595,4300.00,Victory Travel Inc,Small Purchase,"Small - Requisition #220014920 / Services - Non Professional and Non Technology /Department of Finance / Bus travel services from Richmond, Virginia to Charlotte, North Carolina round trip / No additional terms","Non Professional Services, Non Technology",06/22/2022 12:00:00 AM,06/28/2022 12:00:00 AM
Information Technology,22000012638,839337.40,"ThunderCat Technology, LLC",Cooperative Agreement,"230012736 - ThunderCat Technology, LLC for Calero-MDSL Hosted Solution. Monthly Managed Fee Term 60-months: June 20, 2022 – June 19, 2028 - 22000012638","Non Professional Services, Technology",06/29/2022 12:00:00 AM,05/31/2026 12:00:00 AM
Fire and Emergency Services,22000012763,30694.49,AIR-CARE INC,Cooperative Agreement,Requisition #220012259/ESTIMATE 11652 - FIRE PROTECTION EQUIP & SUPP/ HGAC Contract-EE08-19,Equipment - Non Technology,06/27/2022 12:00:00 AM,07/31/2022 12:00:00 AM
Public Works,22000012777,617000.00,ROOF SYSTEMS OF VA INC,Invitation to Bid,IFB / Construction - Non Capital / Department of Public Works - Special Capital Projects / Fire Station #8 & #11 Roof Replacements / Duration of 300 calendar days.,Construction - Capital/Non-Capital,08/31/2022 12:00:00 AM,01/31/2024 12:00:00 AM
Public Works,22000012857,343293.34,Azteca Systems LLC,Agency Request,Sole Source - Requisition #20015187 / Department of Public Works / Software likening and maintenance agreement / Initial term of ne (1) year with Two (2) - One (1) year renewals,"Supplies, Technology",07/01/2022 12:00:00 AM,07/31/2025 12:00:00 AM
Public Works,22000012877,873527.77,COLONY CONSTRUCTION INC,Invitation to Bid,Resurfacing Portions Belt Boulevard (N) Bells Road (W) and Bells Road (E) IFB 220009177,Construction - Term,05/01/2023 12:00:00 AM,07/24/2023 12:00:00 AM
Fire and Emergency Services,22000012912,270088.22,72 Hour LLC,Cooperative Agreement,220013781 - 2022 FORD EXPLORER XLT 4WD SUV(SOURCEWELL CONTRACT #091521,Equipment - Non Technology,06/30/2022 12:00:00 AM,11/08/2025 12:00:00 AM
Police Department,23000000055,125678.05,"Polaris Sales, Inc.",Cooperative Agreement,Cooperative - Requisition #220013645 / Equipment - Non Technology / Police Department / POLARIS - SOD Q#QUO-36647-V8C6Y8 - RANGER CREW XP 1000 NORTHSTAR PREMIUM - GHOST WHITE METALLIC / No additional terms,Equipment - Non Technology,08/12/2022 12:00:00 AM,01/29/2025 12:00:00 AM
Information Technology,23000000122,5059848.20,XEROX CORPORATION,Cooperative Agreement,"State Contract - Requisition 230005552 / Services - Non-Professional - Technology - Technology / Department of Information Technology / Printing Equip, Surplus/Contract #VA-191121-XERX / No additional terms.","Non Professional Services, Technology",04/05/2023 12:00:00 AM,03/31/2028 12:00:00 AM
Public Utilities,23000000134,57956210.50,J R PIERCE INC,Invitation to Bid,"IFB - Requisition 220011391 / Construction - Non Capital, Term / Department of Public Works / Permanent Restoration of Utility Cuts / Annual construction contract / Initial Term of One (1) year with Four (4)-One (1) year renewals. Renewal 1",Construction - Term,07/10/2022 12:00:00 AM,07/09/2026 12:00:00 AM
"Parks, Recreation and Community Facilities",23000000296,589292.00,Webb Development LLC,Invitation to Bid,IFB#220009653 - Blackwell Park Basketball Court Relocation,Construction - Capital/Non-Capital,07/19/2022 12:00:00 AM,07/18/2023 12:00:00 AM
City Attorney,23000000406,19848.00,LexisNexis Risk Data Management Inc,Exempt Purchase,"Requisition #230000305/Lexis Nexis, City Attorney Monthly Subscription, Management Services, Purchase Order thru June 30th, 2023","Non Professional Services, Technology",07/07/2022 12:00:00 AM,06/30/2023 12:00:00 AM
Public Utilities,23000000555,20888859.50,Mastec North America Inc,Invitation to Bid,"New Acquisition; third of four one-year renewal options: HMI Utilities Former Contract #20000001514; IFB#190015935. 180-day extension through Jan 31, 2025.","Non Professional Services, Non Technology",08/01/2022 12:00:00 AM,07/31/2025 12:00:00 AM
